2025-05-15 03:14:58,984 | audio_video_processor | INFO | Démarrage du traitement vidéo à partir du texte (1194 caractères)
2025-05-15 03:14:58,984 | audio_video_processor | INFO | Segment 1/2
2025-05-15 03:14:58,985 | audio_video_processor | INFO | Sous-titres: Activés
2025-05-15 03:14:58,985 | audio_video_processor | INFO | Conversion du texte en audio (1194 caractères)
2025-05-15 03:15:15,303 | audio_video_processor | INFO | Fichier audio créé avec succès: temp_voice_0.mp3 (627.0 KB)
2025-05-15 03:15:15,304 | audio_video_processor | INFO | Création d'une vidéo avec l'audio 'temp_voice_0.mp3' et la vidéo de fond 'video.mp4'
2025-05-15 03:15:15,304 | audio_video_processor | INFO | Segment 1/2
2025-05-15 03:15:15,304 | audio_video_processor | INFO | Des sous-titres seront ajoutés à la vidéo
2025-05-15 03:15:15,687 | audio_video_processor | ERROR | Erreur lors de la création de la vidéo: 'VideoFileClip' object has no attribute 'subclip'
2025-05-15 03:15:15,729 | audio_video_processor | ERROR | Erreur lors du traitement vidéo: Erreur lors de la création de la vidéo: 'VideoFileClip' object has no attribute 'subclip': output/video_1kkxpxq_To_whoever_made_that_fr_segment1.mp4
2025-05-15 03:15:15,730 | audio_video_processor | INFO | Démarrage du traitement vidéo à partir du texte (307 caractères)
2025-05-15 03:15:15,730 | audio_video_processor | INFO | Segment 2/2
2025-05-15 03:15:15,730 | audio_video_processor | INFO | Sous-titres: Activés
2025-05-15 03:15:15,730 | audio_video_processor | INFO | Conversion du texte en audio (307 caractères)
2025-05-15 03:15:21,548 | audio_video_processor | INFO | Fichier audio créé avec succès: temp_voice_1.mp3 (169.9 KB)
2025-05-15 03:15:21,549 | audio_video_processor | INFO | Création d'une vidéo avec l'audio 'temp_voice_1.mp3' et la vidéo de fond 'video.mp4'
2025-05-15 03:15:21,549 | audio_video_processor | INFO | Segment 2/2
2025-05-15 03:15:21,549 | audio_video_processor | INFO | Des sous-titres seront ajoutés à la vidéo
2025-05-15 03:15:21,892 | audio_video_processor | ERROR | Erreur lors de la création de la vidéo: 'VideoFileClip' object has no attribute 'subclip'
2025-05-15 03:15:21,945 | audio_video_processor | ERROR | Erreur lors du traitement vidéo: Erreur lors de la création de la vidéo: 'VideoFileClip' object has no attribute 'subclip': output/video_1kkxpxq_To_whoever_made_that_fr_segment2.mp4
2025-05-15 03:15:57,260 | audio_video_processor | INFO | Démarrage du traitement vidéo à partir du texte (1200 caractères)
2025-05-15 03:15:57,260 | audio_video_processor | INFO | Segment 1/2
2025-05-15 03:15:57,260 | audio_video_processor | INFO | Sous-titres: Activés
2025-05-15 03:15:57,260 | audio_video_processor | INFO | Conversion du texte en audio (1200 caractères)
2025-05-15 03:16:12,848 | audio_video_processor | INFO | Fichier audio créé avec succès: temp_voice_0.mp3 (624.8 KB)
2025-05-15 03:16:12,849 | audio_video_processor | INFO | Création d'une vidéo avec l'audio 'temp_voice_0.mp3' et la vidéo de fond 'video.mp4'
2025-05-15 03:16:12,849 | audio_video_processor | INFO | Segment 1/2
2025-05-15 03:16:12,849 | audio_video_processor | INFO | Des sous-titres seront ajoutés à la vidéo
2025-05-15 03:16:13,206 | audio_video_processor | INFO | Création des sous-titres pour le texte (1200 caractères)
2025-05-15 03:16:13,975 | audio_video_processor | INFO | 50 clips de sous-titres créés avec succès
2025-05-15 03:16:14,009 | audio_video_processor | INFO | Sous-titres ajoutés avec succès
2025-05-15 03:16:14,010 | audio_video_processor | INFO | Rendu de la vidéo finale vers output/video_1kkxpxq_To_whoever_made_that_fr_segment1.mp4...
2025-05-15 03:21:15,966 | audio_video_processor | INFO | Vidéo créée avec succès: output/video_1kkxpxq_To_whoever_made_that_fr_segment1.mp4 (53.3 MB)
2025-05-15 03:21:16,006 | audio_video_processor | INFO | Démarrage du traitement vidéo à partir du texte (325 caractères)
2025-05-15 03:21:16,006 | audio_video_processor | INFO | Segment 2/2
2025-05-15 03:21:16,006 | audio_video_processor | INFO | Sous-titres: Activés
2025-05-15 03:21:16,006 | audio_video_processor | INFO | Conversion du texte en audio (325 caractères)
2025-05-15 03:21:22,378 | audio_video_processor | INFO | Fichier audio créé avec succès: temp_voice_1.mp3 (178.1 KB)
2025-05-15 03:21:22,379 | audio_video_processor | INFO | Création d'une vidéo avec l'audio 'temp_voice_1.mp3' et la vidéo de fond 'video.mp4'
2025-05-15 03:21:22,380 | audio_video_processor | INFO | Segment 2/2
2025-05-15 03:21:22,380 | audio_video_processor | INFO | Des sous-titres seront ajoutés à la vidéo
2025-05-15 03:21:23,004 | audio_video_processor | INFO | Création des sous-titres pour le texte (325 caractères)
2025-05-15 03:21:23,214 | audio_video_processor | INFO | 15 clips de sous-titres créés avec succès
2025-05-15 03:21:23,239 | audio_video_processor | INFO | Sous-titres ajoutés avec succès
2025-05-15 03:21:23,239 | audio_video_processor | INFO | Rendu de la vidéo finale vers output/video_1kkxpxq_To_whoever_made_that_fr_segment2.mp4...
2025-05-15 03:22:50,875 | audio_video_processor | INFO | Vidéo créée avec succès: output/video_1kkxpxq_To_whoever_made_that_fr_segment2.mp4 (16.3 MB)
